"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.48,92,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.5,97,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",2.68,74,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.33,85,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.28,83,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.78,96,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",4.98,89,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",37.74,44,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",80,74,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",2.1,20,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",2.78,92,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",7.38,98,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",8.78,96,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",1.33,63,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.28,18,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",0.75,36,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0.08,5,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0.05,2,3596,"Last 365 Days"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.82,93,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.96,99,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",5.13,98,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.21,58,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.14,39,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",1.11,99,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",5.54,85,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",46.13,73,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",78.7,54,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",1.44,17,439,"2022-2023 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",4.72,99,439,"2022-2023 Champions League"
