"id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction"
32522,22,"MissedShots",0.785999984741211,0.52,0.0386703982949257,"Lionel Messi","h",2097,"OpenPlay",2014,"LeftFoot",5831,"Barcelona","Elche",3,0,2014-08-24 20:00:00,"Rafinha","Pass"
32525,41,"Goal",0.861999969482422,0.615,0.0687015056610107,"Lionel Messi","h",2097,"OpenPlay",2014,"LeftFoot",5831,"Barcelona","Elche",3,0,2014-08-24 20:00:00,"Sergio Busquets","BallRecovery"
32529,62,"Goal",0.86,0.435,0.150343060493469,"Lionel Messi","h",2097,"OpenPlay",2014,"LeftFoot",5831,"Barcelona","Elche",3,0,2014-08-24 20:00:00,NA,"TakeOn"
32769,3,"SavedShot",0.818000030517578,0.38,0.0455032959580421,"Lionel Messi","a",2097,"OpenPlay",2014,"LeftFoot",5842,"Villarreal","Barcelona",0,1,2014-08-31 18:00:00,"Pedro","Pass"
32773,27,"SavedShot",0.869000015258789,0.192000007629395,0.0653166696429253,"Lionel Messi","a",2097,"DirectFreekick",2014,"LeftFoot",5842,"Villarreal","Barcelona",0,1,2014-08-31 18:00:00,NA,"Standard"
32779,65,"SavedShot",0.723000030517578,0.494000015258789,0.0548049323260784,"Lionel Messi","a",2097,"DirectFreekick",2014,"LeftFoot",5842,"Villarreal","Barcelona",0,1,2014-08-31 18:00:00,NA,"Standard"
32780,66,"MissedShots",0.911999969482422,0.499000015258789,0.0971858948469162,"Lionel Messi","a",2097,"FromCorner",2014,"Head",5842,"Villarreal","Barcelona",0,1,2014-08-31 18:00:00,"Ivan Rakitic","Cross"
32787,71,"BlockedShot",0.885,0.602000007629395,0.114679075777531,"Lionel Messi","a",2097,"OpenPlay",2014,"LeftFoot",5842,"Villarreal","Barcelona",0,1,2014-08-31 18:00:00,"Rafinha","Pass"
32788,76,"BlockedShot",0.875999984741211,0.439000015258789,0.106274522840977,"Lionel Messi","a",2097,"OpenPlay",2014,"RightFoot",5842,"Villarreal","Barcelona",0,1,2014-08-31 18:00:00,"Dani Alves","Pass"
32790,81,"SavedShot",0.954000015258789,0.335999984741211,0.310020327568054,"Lionel Messi","a",2097,"OpenPlay",2014,"LeftFoot",5842,"Villarreal","Barcelona",0,1,2014-08-31 18:00:00,NA,"None"
32789,81,"BlockedShot",0.896999969482422,0.447000007629395,0.125717297196388,"Lionel Messi","a",2097,"OpenPlay",2014,"LeftFoot",5842,"Villarreal","Barcelona",0,1,2014-08-31 18:00:00,"Neymar","Pass"
33012,36,"MissedShots",0.895999984741211,0.532000007629394,0.0412298105657101,"Lionel Messi","h",2097,"OpenPlay",2014,"Head",5787,"Barcelona","Athletic Club",2,0,2014-09-13 15:00:00,"Ivan Rakitic","Aerial"
33013,40,"BlockedShot",0.873000030517578,0.565,0.09942527115345,"Lionel Messi","h",2097,"OpenPlay",2014,"LeftFoot",5787,"Barcelona","Athletic Club",2,0,2014-09-13 15:00:00,"Munir","Pass"
33697,22,"BlockedShot",0.769000015258789,0.570999984741211,0.0253217723220587,"Lionel Messi","a",2097,"OpenPlay",2014,"LeftFoot",5804,"Levante","Barcelona",0,5,2014-09-21 20:00:00,NA,"None"
